id_execucao,engine,query_id,query_name,usuarios,modo,count,mean,min,max,p50,p95,p99,erros
1,trino_iceberg,q01,Expansao do Estado (Window Functions),1,mixed-workload,1,2.840863,2.840863,2.840863,2.840863,2.840863,2.840863,0
1,trino_iceberg,q02,Relocalizacoes Geograficas de Setores (Self-Join Historico),1,mixed-workload,1,3.264267,3.264267,3.264267,3.264267,3.264267,3.264267,0
1,trino_iceberg,q03,Serie Historica de Complexidade (Agrupamento por Orgao),1,mixed-workload,1,1.513702,1.513702,1.513702,1.513702,1.513702,1.513702,0
2,trino_iceberg,q03,Serie Historica de Complexidade (Agrupamento por Orgao),5,mixed-workload,5,4.836612,4.313812,5.307228,4.633191,5.307228,5.307228,0
2,trino_iceberg,q01,Expansao do Estado (Window Functions),5,mixed-workload,5,6.239361,5.441268,6.740057,6.441195,6.740057,6.740057,0
2,trino_iceberg,q02,Relocalizacoes Geograficas de Setores (Self-Join Historico),5,mixed-workload,5,8.6467,7.923083,9.176598,8.73719,9.176598,9.176598,0
3,trino_iceberg,q03,Serie Historica de Complexidade (Agrupamento por Orgao),10,mixed-workload,10,9.465803,8.798023,10.006237,9.432355,10.006237,10.006237,0
3,trino_iceberg,q01,Expansao do Estado (Window Functions),10,mixed-workload,10,12.77504,11.753617,13.682622,12.716436,13.682622,13.682622,0
3,trino_iceberg,q02,Relocalizacoes Geograficas de Setores (Self-Join Historico),10,mixed-workload,10,19.79416,19.111218,20.573623,19.809694,20.573623,20.573623,0
4,trino_iceberg,q02,Relocalizacoes Geograficas de Setores (Self-Join Historico),20,mixed-workload,20,44.136848,42.633524,45.842542,44.280802,45.520087,45.842542,0
4,trino_iceberg,q03,Serie Historica de Complexidade (Agrupamento por Orgao),20,mixed-workload,20,20.83584,18.892739,22.455116,20.585682,22.432919,22.455116,0
4,trino_iceberg,q01,Expansao do Estado (Window Functions),20,mixed-workload,20,27.012845,24.876247,29.851152,27.016542,29.805897,29.851152,0
